#\*l[\oA]	F(\*l)
 10388.4  9.97418e-01
 10389.1  9.98342e-01
 10389.7  9.89280e-01
 10390.3  1.00967e+00
 10391.0  1.01448e+00
 10391.6  1.02020e+00
 10392.2  9.96772e-01
 10392.9  9.99811e-01
 10393.5  1.00712e+00
 10394.1  9.98011e-01
 10394.8  9.92913e-01
 10395.4  1.00876e+00
 10396.0  1.02745e+00
 10396.7  9.92676e-01
 10397.3  9.93564e-01
 10397.9  9.94839e-01
 10398.6  9.85135e-01
 10399.2  1.00613e+00
 10399.8  1.00672e+00
 10400.5  1.01812e+00
 10401.1  9.93180e-01
 10401.8  1.02028e+00
 10402.4  9.80705e-01
 10403.0  1.00550e+00
 10403.7  1.01658e+00
 10404.3  9.83075e-01
 10404.9  9.95681e-01
 10405.6  9.97076e-01
 10406.2  1.00940e+00
 10406.8  9.76514e-01
 10407.5  9.98041e-01
 10408.1  1.01654e+00
 10408.7  1.00727e+00
 10409.4  9.92056e-01
 10410.0  1.00456e+00
 10410.6  9.95279e-01
 10411.3  9.89249e-01
 10411.9  9.66118e-01
 10412.5  9.76814e-01
 10413.2  9.73683e-01
 10413.8  9.57305e-01
 10414.4  9.56140e-01
 10415.1  9.34302e-01
 10415.7  9.31999e-01
 10416.4  9.34332e-01
 10417.0  9.51086e-01
 10417.6  9.32067e-01
 10418.3  9.63888e-01
 10418.9  9.81967e-01
 10419.5  9.65876e-01
 10420.2  9.84345e-01
 10420.8  9.57814e-01
 10421.4  9.98382e-01
 10422.1  9.99536e-01
 10422.7  9.76434e-01
 10423.3  1.01431e+00
 10424.0  9.97477e-01
 10424.6  9.95288e-01
 10425.2  1.01122e+00
 10425.9  9.85749e-01
 10426.5  1.00615e+00
 10427.1  1.02004e+00
 10427.8  1.00213e+00
 10428.4  9.98850e-01
 10429.0  9.72452e-01
 10429.7  9.77504e-01
 10430.3  9.93850e-01
 10430.9  9.90680e-01
 10431.6  9.93172e-01
 10432.2  1.01553e+00
 10432.9  1.00780e+00
 10433.5  1.00371e+00
 10434.1  9.85629e-01
 10434.8  9.82766e-01
 10435.4  1.00162e+00
 10436.0  9.92014e-01
 10436.7  1.00370e+00
 10437.3  9.89397e-01
 10437.9  9.98802e-01
 10438.6  1.00750e+00
 10439.2  9.98710e-01
 10439.8  1.00018e+00
 10440.5  9.80547e-01
 10441.1  1.01432e+00
 10441.7  1.00759e+00
 10442.4  9.95623e-01
 10443.0  9.80345e-01
 10443.6  1.00758e+00
 10444.3  1.00719e+00
 10444.9  9.88982e-01
 10445.5  9.91500e-01
 10446.2  9.94394e-01
 10446.8  9.95211e-01
 10447.5  9.98321e-01
 10448.1  9.98573e-01
 10448.7  9.88347e-01
 10449.4  9.78061e-01
 10450.0  1.00055e+00
 10450.6  9.98176e-01
 10451.3  1.00991e+00
 10451.9  1.00866e+00
 10452.5  9.96512e-01
 10453.2  9.92495e-01
 10453.8  9.88758e-01
 10454.4  9.99678e-01
 10455.1  1.02350e+00
 10455.7  9.99743e-01
 10456.3  9.94551e-01
 10457.0  9.89507e-01
 10457.6  1.00158e+00
 10458.2  9.96064e-01
 10458.9  9.89819e-01
 10459.5  9.90516e-01
 10460.1  9.92182e-01
 10460.8  1.00453e+00
 10461.4  9.91655e-01
 10462.0  1.00887e+00
 10462.7  1.01439e+00
 10463.3  1.00262e+00
 10464.0  9.98799e-01
 10464.6  1.00854e+00
 10465.2  1.00380e+00
 10465.9  9.90855e-01
 10466.5  1.00189e+00
