#\*l[\oA]	F(\*l)
 10431.4  9.73000e-01
 10432.1  9.66675e-01
 10432.7  9.55988e-01
 10433.4  9.62049e-01
 10434.0  9.67583e-01
 10434.6  9.57426e-01
 10435.3  9.85673e-01
 10435.9  9.85718e-01
 10436.5  9.84089e-01
 10437.2  9.88161e-01
 10437.8  9.78104e-01
 10438.4  9.81821e-01
 10439.1  9.78911e-01
 10439.7  9.66613e-01
 10440.3  9.69755e-01
 10441.0  9.79297e-01
 10441.6  9.81537e-01
 10442.2  1.00351e+00
 10442.9  9.92793e-01
 10443.5  9.74929e-01
 10444.1  9.87411e-01
 10444.8  1.00316e+00
 10445.4  1.00682e+00
 10446.0  1.00172e+00
 10446.7  1.00078e+00
 10447.3  9.97947e-01
 10447.9  1.01285e+00
 10448.6  1.00474e+00
 10449.2  9.98655e-01
 10449.8  9.93406e-01
 10450.5  9.97923e-01
 10451.1  9.99945e-01
 10451.7  9.99212e-01
 10452.4  1.00291e+00
 10453.0  1.01012e+00
 10453.6  1.00174e+00
 10454.3  1.01764e+00
 10454.9  1.02282e+00
 10455.5  1.02672e+00
 10456.2  1.02474e+00
 10456.8  1.00860e+00
 10457.5  1.00593e+00
 10458.1  1.01665e+00
 10458.7  1.02000e+00
 10459.4  1.00619e+00
 10460.0  1.01073e+00
 10460.6  1.01869e+00
 10461.3  1.01848e+00
 10461.9  1.01574e+00
 10462.5  1.01999e+00
 10463.2  1.02666e+00
 10463.8  1.02380e+00
 10464.4  1.02669e+00
 10465.1  1.01208e+00
 10465.7  1.02053e+00
 10466.3  1.01758e+00
 10467.0  1.01223e+00
 10467.6  1.01852e+00
 10468.2  1.01577e+00
 10468.9  1.00861e+00
 10469.5  1.02417e+00
 10470.1  1.02957e+00
 10470.8  1.02706e+00
 10471.4  1.03529e+00
 10472.0  1.04154e+00
 10472.7  1.02795e+00
 10473.3  1.00295e+00
 10473.9  1.00785e+00
 10474.6  1.01533e+00
 10475.2  1.01194e+00
 10475.8  1.01205e+00
 10476.5  1.00877e+00
 10477.1  1.01622e+00
 10477.7  1.00758e+00
 10478.4  1.01926e+00
 10479.0  1.02066e+00
 10479.7  1.01981e+00
 10480.3  1.01014e+00
 10480.9  1.01866e+00
 10481.6  1.01570e+00
 10482.2  1.01276e+00
 10482.8  9.90288e-01
 10483.5  1.00320e+00
 10484.1  1.01341e+00
 10484.7  1.01210e+00
 10485.4  1.01132e+00
 10486.0  1.00958e+00
 10486.6  1.00673e+00
 10487.3  1.01398e+00
 10487.9  1.01266e+00
 10488.5  1.01377e+00
 10489.2  1.02010e+00
 10489.8  1.00537e+00
 10490.4  9.95227e-01
 10491.1  9.98220e-01
 10491.7  1.00741e+00
 10492.3  1.00689e+00
 10493.0  1.00771e+00
 10493.6  1.01191e+00
 10494.2  1.01182e+00
 10494.9  1.01385e+00
 10495.5  1.01377e+00
 10496.1  1.02049e+00
 10496.8  1.00220e+00
 10497.4  9.99865e-01
 10498.0  1.00006e+00
 10498.7  1.00867e+00
 10499.3  1.01256e+00
 10499.9  1.01718e+00
 10500.6  1.01151e+00
 10501.2  1.01511e+00
 10501.8  1.01682e+00
 10502.5  1.02246e+00
 10503.1  1.01124e+00
 10503.8  1.01854e+00
 10504.4  1.00246e+00
 10505.0  9.87442e-01
 10505.7  9.90535e-01
 10506.3  9.86291e-01
 10506.9  9.84001e-01
 10507.6  9.91307e-01
 10508.2  1.00871e+00
 10508.8  1.00643e+00
 10509.5  1.01503e+00
 10510.1  1.01704e+00
 10510.7  1.01331e+00
 10511.4  1.00827e+00
 10512.0  1.00739e+00
 10512.6  1.02634e+00
 10513.3  1.05122e+00
 10513.9  1.03174e+00
 10514.5  1.01557e+00
 10515.2  1.01506e+00
 10515.8  1.01224e+00
 10516.4  1.00853e+00
 10517.1  1.00310e+00
 10517.7  1.00298e+00
 10518.3  1.00720e+00
 10519.0  1.01938e+00
 10519.6  1.02536e+00
 10520.2  1.01592e+00
 10520.9  1.01121e+00
 10521.5  1.01644e+00
 10522.1  1.01385e+00
 10522.8  1.00377e+00
 10523.4  1.00749e+00
 10524.0  1.01140e+00
 10524.7  1.00864e+00
 10525.3  1.02942e+00
 10525.9  1.02383e+00
 10526.6  1.01381e+00
 10527.2  1.01260e+00
 10527.9  1.01220e+00
 10528.5  1.01883e+00
 10529.1  1.02116e+00
 10529.8  1.01361e+00
 10530.4  1.01511e+00
 10531.0  1.01889e+00
 10531.7  1.03422e+00
 10532.3  1.01262e+00
 10532.9  1.00321e+00
 10533.6  1.01495e+00
 10534.2  1.01309e+00
 10534.8  1.01533e+00
 10535.5  1.02165e+00
 10536.1  1.00045e+00
 10536.7  1.01606e+00
 10537.4  1.02489e+00
 10538.0  1.01296e+00
 10538.6  1.01469e+00
 10539.3  1.01335e+00
 10539.9  1.00110e+00
 10540.5  9.90522e-01
 10541.2  9.92653e-01
 10541.8  9.95889e-01
 10542.4  9.94429e-01
 10543.1  1.00234e+00
 10543.7  1.01144e+00
 10544.3  1.01428e+00
 10545.0  1.01355e+00
 10545.6  1.00925e+00
 10546.2  1.02750e+00
 10546.9  1.03435e+00
 10547.5  1.01729e+00
 10548.1  1.00828e+00
 10548.8  1.01289e+00
 10549.4  1.01253e+00
 10550.1  1.02139e+00
 10550.7  1.01056e+00
 10551.3  9.99166e-01
 10552.0  1.01102e+00
 10552.6  1.02722e+00
 10553.2  1.01836e+00
 10553.9  1.00531e+00
 10554.5  1.02405e+00
 10555.1  1.02511e+00
 10555.8  1.01468e+00
 10556.4  1.00381e+00
 10557.0  1.01316e+00
 10557.7  1.00922e+00
 10558.3  1.01149e+00
 10558.9  1.01924e+00
 10559.6  1.01229e+00
 10560.2  1.01203e+00
 10560.8  1.01005e+00
 10561.5  1.00913e+00
 10562.1  1.01101e+00
 10562.7  1.01633e+00
 10563.4  1.01034e+00
 10564.0  1.00808e+00
 10564.6  1.00902e+00
 10565.3  1.01335e+00
 10565.9  1.01278e+00
 10566.5  9.98484e-01
 10567.2  1.00672e+00
 10567.8  1.01149e+00
 10568.4  1.01374e+00
 10569.1  9.94029e-01
 10569.7  1.00299e+00
 10570.3  1.01509e+00
 10571.0  1.02072e+00
 10571.6  1.02969e+00
 10572.2  1.02107e+00
 10572.9  1.01057e+00
 10573.5  1.00318e+00
 10574.2  1.01398e+00
 10574.8  1.00991e+00
 10575.4  9.93409e-01
 10576.1  9.93812e-01
 10576.7  1.00770e+00
 10577.3  1.00707e+00
 10578.0  1.00934e+00
 10578.6  1.01693e+00
 10579.2  1.01873e+00
 10579.9  1.00309e+00
 10580.5  1.00078e+00
 10581.1  1.01758e+00
 10581.8  1.01311e+00
 10582.4  1.01557e+00
 10583.0  1.01857e+00
 10583.7  1.00072e+00
 10584.3  9.98037e-01
 10584.9  9.91476e-01
 10585.6  1.00031e+00
 10586.2  1.01333e+00
 10586.8  1.01099e+00
 10587.5  1.00592e+00
 10588.1  1.00683e+00
 10588.7  1.00342e+00
 10589.4  1.00282e+00
 10590.0  1.01320e+00
 10590.6  1.01818e+00
 10591.3  1.01899e+00
 10591.9  1.01029e+00
 10592.5  1.00752e+00
 10593.2  1.00160e+00
 10593.8  9.97620e-01
 10594.4  1.00512e+00
 10595.1  1.00106e+00
 10595.7  1.00707e+00
 10596.4  1.01735e+00
 10597.0  1.01397e+00
 10597.6  1.01547e+00
 10598.3  1.02828e+00
 10598.9  1.03107e+00
 10599.5  1.01138e+00
 10600.2  1.02090e+00
 10600.8  1.01182e+00
 10601.4  1.01312e+00
 10602.1  1.00628e+00
 10602.7  9.98074e-01
 10603.3  1.01885e+00
 10604.0  1.02178e+00
 10604.6  1.01914e+00
 10605.2  1.01400e+00
 10605.9  1.01506e+00
 10606.5  1.01810e+00
 10607.1  1.01913e+00
 10607.8  9.98845e-01
 10608.4  1.00012e+00
 10609.0  1.01800e+00
 10609.7  1.02369e+00
 10610.3  1.00749e+00
 10610.9  1.00134e+00
 10611.6  9.98682e-01
 10612.2  1.00511e+00
 10612.8  9.98596e-01
 10613.5  9.99108e-01
 10614.1  1.01357e+00
 10614.7  1.01887e+00
 10615.4  1.02231e+00
 10616.0  1.00758e+00
 10616.6  1.00902e+00
 10617.3  1.01977e+00
 10617.9  1.02371e+00
 10618.5  1.02581e+00
 10619.2  1.02405e+00
 10619.8  1.02508e+00
 10620.5  1.00582e+00
