#\*l[\oA]	F(\*l)
 10619.0  1.01657e+00
 10619.7  1.00887e+00
 10620.3  1.00764e+00
 10620.9  1.00413e+00
 10621.6  1.00633e+00
 10622.2  1.01395e+00
 10622.8  1.00236e+00
 10623.5  9.95937e-01
 10624.1  9.93085e-01
 10624.7  1.00268e+00
 10625.4  1.01578e+00
 10626.0  1.00587e+00
 10626.6  9.87702e-01
 10627.3  9.86945e-01
 10627.9  1.00926e+00
 10628.6  1.01097e+00
 10629.2  9.89621e-01
 10629.8  9.98667e-01
 10630.5  9.96341e-01
 10631.1  9.84870e-01
 10631.7  9.84143e-01
 10632.4  9.84128e-01
 10633.0  9.90096e-01
 10633.6  9.95512e-01
 10634.3  9.96867e-01
 10634.9  9.96333e-01
 10635.5  1.00827e+00
 10636.2  1.00034e+00
 10636.8  9.86383e-01
 10637.4  9.94414e-01
 10638.1  1.00795e+00
 10638.7  1.01299e+00
 10639.3  1.00585e+00
 10640.0  1.00845e+00
 10640.6  9.99799e-01
 10641.2  1.00082e+00
 10641.9  1.00944e+00
 10642.5  9.92209e-01
 10643.1  9.66766e-01
 10643.8  9.79314e-01
 10644.4  9.91022e-01
 10645.1  9.85843e-01
 10645.7  1.00894e+00
 10646.3  1.01770e+00
 10647.0  1.00599e+00
 10647.6  1.00373e+00
 10648.2  1.00389e+00
 10648.9  1.00537e+00
 10649.5  1.01827e+00
 10650.1  1.02371e+00
 10650.8  1.02806e+00
 10651.4  1.04477e+00
 10652.0  1.03839e+00
 10652.7  1.02618e+00
 10653.3  1.02226e+00
 10653.9  1.01299e+00
 10654.6  9.98639e-01
 10655.2  9.89959e-01
 10655.8  9.84660e-01
 10656.5  9.79325e-01
 10657.1  9.74231e-01
 10657.7  9.70646e-01
 10658.4  9.67975e-01
 10659.0  9.62666e-01
 10659.6  9.64127e-01
 10660.3  9.47510e-01
 10660.9  9.37293e-01
 10661.5  9.58678e-01
 10662.2  9.82416e-01
 10662.8  9.98155e-01
 10663.5  1.00940e+00
 10664.1  1.02169e+00
 10664.7  1.01909e+00
 10665.4  1.03248e+00
 10666.0  1.04715e+00
 10666.6  1.04515e+00
 10667.3  1.04873e+00
 10667.9  1.05730e+00
 10668.5  1.03956e+00
 10669.2  1.02874e+00
 10669.8  1.03457e+00
 10670.4  1.03722e+00
 10671.1  1.04390e+00
 10671.7  1.02694e+00
 10672.3  1.00501e+00
 10673.0  1.00791e+00
 10673.6  9.98948e-01
 10674.2  1.00499e+00
 10674.9  1.01021e+00
 10675.5  1.00269e+00
 10676.1  9.81842e-01
 10676.8  9.75350e-01
 10677.4  9.94868e-01
 10678.0  1.00203e+00
 10678.7  9.94587e-01
 10679.3  9.87729e-01
 10679.9  1.00660e+00
 10680.6  1.00619e+00
 10681.2  9.95345e-01
 10681.9  1.01629e+00
 10682.5  1.01682e+00
 10683.1  1.00072e+00
 10683.8  1.01001e+00
 10684.4  1.02288e+00
 10685.0  1.00617e+00
 10685.7  1.00293e+00
 10686.3  1.00284e+00
 10686.9  1.00210e+00
 10687.6  9.89592e-01
 10688.2  9.78092e-01
 10688.8  9.83157e-01
 10689.5  9.91215e-01
 10690.1  1.00419e+00
 10690.7  9.94663e-01
 10691.4  9.92139e-01
 10692.0  9.99397e-01
 10692.6  9.91660e-01
 10693.3  9.84094e-01
 10693.9  9.78879e-01
