#\*l[\oA]	F(\*l)
 10388.4  1.02693e+00
 10389.1  9.79586e-01
 10389.7  9.94790e-01
 10390.3  1.02720e+00
 10391.0  1.00242e+00
 10391.6  1.01270e+00
 10392.2  1.00672e+00
 10392.9  9.94360e-01
 10393.5  1.01368e+00
 10394.1  9.95595e-01
 10394.8  1.00766e+00
 10395.4  9.89400e-01
 10396.0  1.00947e+00
 10396.7  1.00620e+00
 10397.3  9.91814e-01
 10397.9  9.93232e-01
 10398.6  1.01454e+00
 10399.2  1.01595e+00
 10399.8  1.02624e+00
 10400.5  9.97412e-01
 10401.1  1.00120e+00
 10401.7  1.00591e+00
 10402.4  9.93713e-01
 10403.0  9.93922e-01
 10403.6  1.01241e+00
 10404.3  9.95920e-01
 10404.9  1.01971e+00
 10405.6  9.98190e-01
 10406.2  1.00860e+00
 10406.8  1.00624e+00
 10407.5  1.00458e+00
 10408.1  1.00889e+00
 10408.7  1.03686e+00
 10409.4  1.00457e+00
 10410.0  1.02241e+00
 10410.6  9.93347e-01
 10411.3  1.01570e+00
 10411.9  9.83660e-01
 10412.5  9.84217e-01
 10413.2  9.95051e-01
 10413.8  9.84393e-01
 10414.4  9.67879e-01
 10415.1  9.90534e-01
 10415.7  9.65475e-01
 10416.3  9.55578e-01
 10417.0  9.63736e-01
 10417.6  9.49736e-01
 10418.2  9.28167e-01
 10418.9  9.64516e-01
 10419.5  9.54602e-01
 10420.2  9.56538e-01
 10420.8  9.62130e-01
 10421.4  9.65187e-01
 10422.1  9.56030e-01
 10422.7  9.84669e-01
 10423.3  1.00340e+00
 10424.0  1.01278e+00
 10424.6  1.00011e+00
 10425.2  9.88264e-01
 10425.9  9.88547e-01
 10426.5  1.00382e+00
 10427.1  1.02514e+00
 10427.8  1.00990e+00
 10428.4  9.97647e-01
 10429.0  9.81881e-01
 10429.7  9.96956e-01
 10430.3  9.97691e-01
 10430.9  9.94513e-01
 10431.6  9.86673e-01
 10432.2  1.00190e+00
 10432.8  1.01686e+00
 10433.5  9.98296e-01
 10434.1  9.90469e-01
 10434.7  9.80927e-01
 10435.4  9.97888e-01
 10436.0  9.81719e-01
 10436.7  1.00503e+00
 10437.3  9.83755e-01
 10437.9  9.94203e-01
 10438.6  9.75540e-01
 10439.2  1.00166e+00
 10439.8  9.97935e-01
 10440.5  9.96404e-01
 10441.1  9.84756e-01
 10441.7  1.00416e+00
 10442.4  1.01721e+00
 10443.0  1.00194e+00
 10443.6  9.81020e-01
 10444.3  1.00918e+00
 10444.9  9.94110e-01
 10445.5  9.93478e-01
 10446.2  1.00496e+00
 10446.8  1.00033e+00
 10447.4  9.98145e-01
 10448.1  9.92612e-01
 10448.7  9.97818e-01
 10449.3  9.96961e-01
 10450.0  1.00539e+00
 10450.6  9.97722e-01
 10451.3  1.00410e+00
 10451.9  9.75350e-01
 10452.5  1.01159e+00
 10453.2  1.01217e+00
 10453.8  9.95624e-01
 10454.4  9.90772e-01
 10455.1  9.90207e-01
 10455.7  1.00653e+00
 10456.3  1.00053e+00
 10457.0  9.80566e-01
 10457.6  1.00057e+00
 10458.2  9.90524e-01
 10458.9  9.98729e-01
 10459.5  9.86182e-01
 10460.1  9.89576e-01
 10460.8  1.01140e+00
 10461.4  1.00262e+00
 10462.0  1.00419e+00
 10462.7  1.01148e+00
 10463.3  1.02076e+00
 10463.9  1.01507e+00
 10464.6  1.01641e+00
 10465.2  1.02066e+00
 10465.8  1.00031e+00
 10466.5  9.96041e-01
 10467.1  1.01768e+00
 10467.8  9.90684e-01
 10468.4  1.00742e+00
 10469.0  9.97251e-01
 10469.7  1.00374e+00
 10470.3  9.94255e-01
 10470.9  1.00605e+00
 10471.6  1.00404e+00
 10472.2  9.99115e-01
 10472.8  1.01067e+00
 10473.5  1.00886e+00
 10474.1  9.75183e-01
 10474.7  1.00110e+00
 10475.4  9.84707e-01
 10476.0  1.01714e+00
 10476.6  1.01034e+00
 10477.3  9.91143e-01
 10477.9  9.91977e-01
 10478.5  1.01073e+00
 10479.2  9.99782e-01
 10479.8  1.01295e+00
 10480.4  9.91715e-01
 10481.1  9.95138e-01
 10481.7  1.00712e+00
 10482.4  1.02208e+00
 10483.0  9.95994e-01
 10483.6  1.00034e+00
 10484.3  1.00044e+00
 10484.9  9.96787e-01
 10485.5  1.00410e+00
 10486.2  9.96737e-01
 10486.8  9.83844e-01
 10487.4  9.98457e-01
 10488.1  1.02344e+00
 10488.7  1.00770e+00
 10489.3  9.83811e-01
 10490.0  1.00948e+00
 10490.6  9.91992e-01
 10491.2  1.01942e+00
 10491.9  9.90201e-01
 10492.5  9.99864e-01
 10493.1  9.84632e-01
 10493.8  1.00250e+00
 10494.4  9.91123e-01
 10495.0  1.00170e+00
 10495.7  9.88124e-01
 10496.3  1.00394e+00
 10496.9  9.86280e-01
 10497.6  9.96528e-01
 10498.2  1.00102e+00
 10498.9  1.02018e+00
 10499.5  9.97808e-01
 10500.1  9.84702e-01
 10500.8  9.95729e-01
 10501.4  9.98720e-01
 10502.0  1.00608e+00
 10502.7  9.96157e-01
 10503.3  9.93824e-01
 10503.9  9.77957e-01
 10504.6  1.00133e+00
 10505.2  9.80373e-01
 10505.8  9.96622e-01
 10506.5  9.87102e-01
 10507.1  9.94719e-01
 10507.7  9.96269e-01
 10508.4  9.98358e-01
 10509.0  1.00414e+00
 10509.6  1.00282e+00
 10510.3  9.93068e-01
 10510.9  9.92299e-01
 10511.5  1.00660e+00
 10512.2  1.01025e+00
 10512.8  9.98295e-01
 10513.5  9.94646e-01
 10514.1  9.88570e-01
 10514.7  9.91722e-01
 10515.4  9.95606e-01
 10516.0  1.01041e+00
 10516.6  9.95849e-01
 10517.3  1.02279e+00
 10517.9  9.89364e-01
 10518.5  1.00832e+00
 10519.2  1.00088e+00
 10519.8  1.01498e+00
 10520.4  9.93982e-01
 10521.1  1.00257e+00
 10521.7  9.84422e-01
 10522.3  9.89517e-01
 10523.0  1.01224e+00
 10523.6  1.00890e+00
 10524.2  9.91189e-01
 10524.9  1.01808e+00
 10525.5  1.02137e+00
 10526.1  1.01158e+00
 10526.8  9.82367e-01
 10527.4  1.00228e+00
 10528.0  1.01905e+00
 10528.7  1.00092e+00
 10529.3  9.97917e-01
 10530.0  1.01102e+00
 10530.6  9.97023e-01
 10531.2  1.00614e+00
 10531.9  1.01784e+00
 10532.5  1.00003e+00
 10533.1  9.82421e-01
 10533.8  1.01000e+00
 10534.4  1.00257e+00
 10535.0  1.01311e+00
 10535.7  1.01138e+00
 10536.3  1.00347e+00
 10536.9  1.00193e+00
 10537.6  1.01115e+00
 10538.2  1.00814e+00
 10538.8  9.98912e-01
 10539.5  1.01408e+00
 10540.1  1.01472e+00
 10540.7  9.96596e-01
 10541.4  1.01876e+00
 10542.0  1.00842e+00
 10542.6  9.91301e-01
 10543.3  1.00352e+00
 10543.9  1.00197e+00
 10544.6  1.00964e+00
 10545.2  1.00370e+00
 10545.8  1.02244e+00
 10546.5  9.88425e-01
 10547.1  1.00271e+00
 10547.7  1.01358e+00
 10548.4  1.00746e+00
 10549.0  1.02242e+00
 10549.6  9.95619e-01
 10550.3  1.00120e+00
 10550.9  1.00410e+00
 10551.5  1.01360e+00
 10552.2  1.01582e+00
 10552.8  1.02054e+00
 10553.4  1.00554e+00
 10554.1  9.99527e-01
 10554.7  1.00239e+00
 10555.3  9.98298e-01
 10556.0  9.97898e-01
 10556.6  1.00789e+00
 10557.2  1.00663e+00
 10557.9  9.90678e-01
 10558.5  9.97922e-01
 10559.1  9.95795e-01
 10559.8  1.00142e+00
 10560.4  1.00516e+00
 10561.1  9.92041e-01
 10561.7  9.97404e-01
 10562.3  1.01171e+00
 10563.0  9.91697e-01
 10563.6  1.01813e+00
 10564.2  1.01965e+00
 10564.9  9.99147e-01
 10565.5  9.98483e-01
