#\*l[\oA]	F(\*l)
 10424.5  1.29297e+00
 10425.1  1.39900e+00
 10425.7  1.27212e+00
 10426.4  1.17602e+00
 10427.0  1.29195e+00
 10427.6  1.43266e+00
 10428.3  1.29288e+00
 10428.9  1.32769e+00
 10429.5  1.31670e+00
 10430.2  1.34365e+00
 10430.8  1.49642e+00
 10431.4  1.40425e+00
 10432.1  1.27566e+00
 10432.7  1.05386e+00
 10433.3  1.07468e+00
 10434.0  1.24401e+00
 10434.6  1.35067e+00
 10435.2  1.47056e+00
 10435.9  1.46009e+00
 10436.5  1.18298e+00
 10437.1  1.09677e+00
 10437.8  1.29572e+00
 10438.4  1.29678e+00
 10439.1  1.22264e+00
 10439.7  1.02819e+00
 10440.3  1.00750e+00
 10441.0  1.34135e+00
 10441.6  1.13081e+00
 10442.2  1.26896e+00
 10442.9  1.24250e+00
 10443.5  1.09863e+00
 10444.1  1.11042e+00
 10444.8  1.21050e+00
 10445.4  1.09170e+00
 10446.0  1.09549e+00
 10446.7  1.23074e+00
 10447.3  1.19404e+00
 10447.9  1.11423e+00
 10448.6  1.09045e+00
 10449.2  1.12940e+00
 10449.8  1.11439e+00
 10450.5  1.05516e+00
 10451.1  1.05926e+00
 10451.7  1.12960e+00
 10452.4  1.10595e+00
 10453.0  9.40257e-01
 10453.6  1.09369e+00
 10454.3  1.07471e+00
 10454.9  1.02908e+00
 10455.6  1.12724e+00
 10456.2  1.22725e+00
 10456.8  1.22295e+00
 10457.5  1.30680e+00
 10458.1  1.29211e+00
 10458.7  1.15288e+00
 10459.4  9.91188e-01
 10460.0  1.18881e+00
 10460.6  1.17268e+00
 10461.3  1.04823e+00
 10461.9  1.12102e+00
 10462.5  1.04963e+00
 10463.2  9.85287e-01
 10463.8  1.09149e+00
 10464.4  1.11951e+00
 10465.1  1.00722e+00
 10465.7  8.17141e-01
 10466.3  9.63966e-01
 10467.0  8.63753e-01
 10467.6  8.62365e-01
 10468.2  1.00839e+00
 10468.9  8.62699e-01
 10469.5  7.76715e-01
 10470.1  9.79190e-01
 10470.8  1.00391e+00
 10471.4  9.44179e-01
 10472.0  1.05206e+00
 10472.7  1.06970e+00
 10473.3  1.10477e+00
 10474.0  8.21099e-01
 10474.6  7.20607e-01
 10475.2  7.62848e-01
 10475.9  9.67250e-01
 10476.5  8.38964e-01
 10477.1  8.65088e-01
 10477.8  9.33608e-01
 10478.4  7.58188e-01
 10479.0  7.97932e-01
 10479.7  7.19284e-01
 10480.3  6.33943e-01
 10480.9  8.78358e-01
 10481.6  7.97479e-01
 10482.2  1.00879e+00
 10482.8  8.62631e-01
 10483.5  1.01258e+00
 10484.1  8.81904e-01
 10484.7  8.07675e-01
 10485.4  8.44147e-01
 10486.0  1.03395e+00
 10486.6  9.92830e-01
 10487.3  9.69513e-01
 10487.9  9.85043e-01
 10488.5  8.49993e-01
 10489.2  7.78011e-01
 10489.8  8.95742e-01
 10490.5  8.38236e-01
 10491.1  1.01178e+00
 10491.7  9.96480e-01
 10492.4  9.89049e-01
 10493.0  1.05499e+00
 10493.6  1.10403e+00
 10494.3  1.03607e+00
 10494.9  9.88441e-01
 10495.5  1.20617e+00
 10496.2  1.01542e+00
 10496.8  9.16566e-01
 10497.4  9.81761e-01
 10498.1  1.10325e+00
 10498.7  1.11959e+00
 10499.3  1.11133e+00
 10500.0  9.71590e-01
 10500.6  9.53181e-01
 10501.2  1.05605e+00
 10501.9  1.03710e+00
 10502.5  7.84210e-01
 10503.1  9.17046e-01
 10503.8  8.06366e-01
