#\*l[\oA]	F(\*l)
 10424.3  1.06010e+00
 10424.9  1.05853e+00
 10425.5  1.01295e+00
 10426.2  1.01574e+00
 10426.8  1.08140e+00
 10427.4  1.03301e+00
 10428.1  9.85881e-01
 10428.7  1.02951e+00
 10429.3  9.77759e-01
 10430.0  9.96154e-01
 10430.6  1.03607e+00
 10431.2  1.00794e+00
 10431.9  1.01236e+00
 10432.5  9.83459e-01
 10433.1  9.76781e-01
 10433.8  1.02880e+00
 10434.4  9.84423e-01
 10435.0  9.85556e-01
 10435.7  9.75116e-01
 10436.3  9.53735e-01
 10437.0  9.56679e-01
 10437.6  9.67113e-01
 10438.2  1.02126e+00
 10438.9  1.00095e+00
 10439.5  9.69926e-01
 10440.1  9.93857e-01
 10440.8  1.10848e+00
 10441.4  1.08143e+00
 10442.0  1.03770e+00
 10442.7  9.76301e-01
 10443.3  9.58375e-01
 10443.9  9.62196e-01
 10444.6  1.00608e+00
 10445.2  1.02129e+00
 10445.8  9.99810e-01
 10446.5  1.01410e+00
 10447.1  1.01198e+00
 10447.7  1.01979e+00
 10448.4  1.03492e+00
 10449.0  1.05332e+00
 10449.6  1.00235e+00
 10450.3  1.00028e+00
 10450.9  1.02497e+00
 10451.5  1.03274e+00
 10452.2  9.92308e-01
 10452.8  9.88820e-01
 10453.4  9.94770e-01
 10454.1  1.01583e+00
 10454.7  1.03129e+00
 10455.4  1.06618e+00
 10456.0  1.04749e+00
 10456.6  1.00692e+00
 10457.3  1.01166e+00
 10457.9  9.84960e-01
 10458.5  9.86970e-01
 10459.2  9.90092e-01
 10459.8  1.03384e+00
 10460.4  1.00831e+00
 10461.1  9.79824e-01
 10461.7  1.00836e+00
 10462.3  9.82828e-01
 10463.0  1.02419e+00
 10463.6  1.02336e+00
 10464.2  1.01831e+00
 10464.9  9.78975e-01
 10465.5  9.89163e-01
 10466.1  9.83033e-01
 10466.8  9.50093e-01
 10467.4  9.62829e-01
 10468.0  1.01107e+00
 10468.7  1.02431e+00
 10469.3  9.90094e-01
 10469.9  9.88925e-01
 10470.6  1.00179e+00
 10471.2  1.02123e+00
 10471.9  9.94399e-01
 10472.5  9.19860e-01
 10473.1  9.42988e-01
 10473.8  9.93228e-01
 10474.4  9.51359e-01
 10475.0  9.50448e-01
 10475.7  9.31519e-01
 10476.3  9.51778e-01
 10476.9  9.43330e-01
 10477.6  9.28365e-01
 10478.2  9.51674e-01
 10478.8  9.77992e-01
 10479.5  9.76181e-01
 10480.1  9.75078e-01
 10480.7  9.72435e-01
 10481.4  9.70269e-01
 10482.0  9.85111e-01
 10482.6  9.94393e-01
 10483.3  9.79010e-01
 10483.9  9.84738e-01
 10484.5  9.82922e-01
 10485.2  9.92260e-01
 10485.8  9.74003e-01
 10486.4  9.82271e-01
 10487.1  9.93995e-01
 10487.7  9.80254e-01
 10488.3  9.95592e-01
 10489.0  1.00442e+00
 10489.6  9.73390e-01
 10490.3  9.70357e-01
 10490.9  9.82385e-01
 10491.5  9.72251e-01
 10492.2  9.83692e-01
 10492.8  1.00698e+00
 10493.4  9.89442e-01
 10494.1  9.63456e-01
 10494.7  9.79234e-01
 10495.3  9.74260e-01
 10496.0  1.00599e+00
 10496.6  9.91948e-01
 10497.2  1.00834e+00
 10497.9  1.02255e+00
 10498.5  1.03288e+00
 10499.1  1.00662e+00
 10499.8  1.03625e+00
 10500.4  1.00776e+00
 10501.0  1.01867e+00
 10501.7  9.94901e-01
 10502.3  9.68068e-01
 10502.9  9.84606e-01
 10503.6  1.00836e+00
 10504.2  9.70395e-01
 10504.8  9.82028e-01
 10505.5  1.00730e+00
 10506.1  9.89040e-01
 10506.8  9.69490e-01
 10507.4  9.97450e-01
 10508.0  1.00550e+00
 10508.7  1.01867e+00
 10509.3  9.95950e-01
 10509.9  1.00436e+00
 10510.6  1.00734e+00
 10511.2  1.00846e+00
 10511.8  9.97081e-01
 10512.5  9.82983e-01
 10513.1  1.01323e+00
 10513.7  1.02291e+00
 10514.4  1.00547e+00
 10515.0  9.97717e-01
 10515.6  9.82301e-01
 10516.3  9.91123e-01
 10516.9  1.01953e+00
 10517.5  1.00159e+00
 10518.2  1.02932e+00
 10518.8  1.04267e+00
 10519.4  9.89838e-01
 10520.1  9.66168e-01
 10520.7  9.84891e-01
 10521.3  1.02634e+00
 10522.0  1.03331e+00
 10522.6  9.92900e-01
 10523.2  9.84709e-01
 10523.9  1.02009e+00
 10524.5  1.02528e+00
 10525.2  1.01377e+00
 10525.8  1.03113e+00
 10526.4  1.01957e+00
 10527.1  9.74895e-01
 10527.7  9.87193e-01
 10528.3  1.01793e+00
 10529.0  1.02442e+00
 10529.6  1.00815e+00
 10530.2  1.01239e+00
 10530.9  9.99572e-01
 10531.5  9.96272e-01
 10532.1  1.00556e+00
 10532.8  9.88656e-01
 10533.4  9.95434e-01
 10534.0  9.87136e-01
 10534.7  9.90640e-01
 10535.3  9.91416e-01
 10535.9  9.91474e-01
 10536.6  9.98497e-01
 10537.2  9.76735e-01
 10537.8  9.76945e-01
 10538.5  1.01901e+00
 10539.1  1.00913e+00
 10539.7  9.84127e-01
 10540.4  1.01246e+00
 10541.0  1.00898e+00
 10541.7  9.75691e-01
 10542.3  9.84278e-01
 10542.9  9.87416e-01
 10543.6  1.01566e+00
 10544.2  1.04247e+00
 10544.8  1.00985e+00
 10545.5  9.96353e-01
 10546.1  1.01180e+00
 10546.7  1.02795e+00
 10547.4  1.02159e+00
 10548.0  9.77588e-01
 10548.6  9.75012e-01
 10549.3  9.72301e-01
 10549.9  1.03492e+00
 10550.5  1.06306e+00
 10551.2  9.98647e-01
 10551.8  9.94714e-01
 10552.4  9.89089e-01
 10553.1  9.88015e-01
 10553.7  1.00199e+00
 10554.3  9.76388e-01
 10555.0  9.62218e-01
 10555.6  1.01086e+00
 10556.2  1.03968e+00
 10556.9  1.00939e+00
 10557.5  9.92861e-01
 10558.1  9.95860e-01
 10558.8  1.05622e+00
 10559.4  1.04409e+00
 10560.1  9.76197e-01
 10560.7  9.93290e-01
 10561.3  9.93482e-01
 10562.0  1.00825e+00
 10562.6  1.00180e+00
 10563.2  1.01564e+00
 10563.9  1.03536e+00
 10564.5  1.00329e+00
 10565.1  9.80727e-01
 10565.8  1.01223e+00
 10566.4  1.04256e+00
 10567.0  9.94318e-01
 10567.7  9.75369e-01
 10568.3  9.81291e-01
 10568.9  9.75095e-01
 10569.6  9.93475e-01
 10570.2  9.67630e-01
 10570.8  9.93270e-01
 10571.5  9.91385e-01
 10572.1  9.91638e-01
 10572.7  1.02998e+00
 10573.4  9.84246e-01
 10574.0  9.82354e-01
 10574.6  1.01134e+00
 10575.3  1.00164e+00
 10575.9  9.78026e-01
 10576.6  9.67589e-01
 10577.2  9.74083e-01
 10577.8  9.97001e-01
 10578.5  1.00901e+00
 10579.1  1.02944e+00
 10579.7  9.97277e-01
 10580.4  9.71029e-01
 10581.0  9.94677e-01
 10581.6  9.97941e-01
 10582.3  9.92397e-01
 10582.9  1.04278e+00
 10583.5  1.04371e+00
 10584.2  9.82749e-01
 10584.8  9.71628e-01
 10585.4  9.89711e-01
 10586.1  9.72350e-01
 10586.7  9.68741e-01
 10587.3  9.90211e-01
 10588.0  1.04233e+00
 10588.6  1.06008e+00
 10589.2  9.98835e-01
 10589.9  1.00844e+00
 10590.5  1.01393e+00
 10591.1  9.82366e-01
 10591.8  9.99572e-01
 10592.4  9.95771e-01
 10593.0  9.65498e-01
 10593.7  9.62457e-01
 10594.3  9.76070e-01
 10595.0  9.73935e-01
 10595.6  1.00131e+00
 10596.2  1.01734e+00
 10596.9  9.75577e-01
 10597.5  1.01920e+00
 10598.1  1.03835e+00
 10598.8  1.01701e+00
 10599.4  1.02001e+00
 10600.0  9.74134e-01
 10600.7  1.00052e+00
 10601.3  1.00770e+00
 10601.9  9.62669e-01
 10602.6  9.30534e-01
 10603.2  9.59091e-01
 10603.8  9.97276e-01
 10604.5  1.01330e+00
 10605.1  1.01253e+00
 10605.7  1.03654e+00
 10606.4  1.06668e+00
 10607.0  1.01650e+00
 10607.6  9.92089e-01
 10608.3  1.02263e+00
 10608.9  1.02822e+00
 10609.5  9.77796e-01
 10610.2  9.84007e-01
 10610.8  1.00359e+00
 10611.4  9.68084e-01
 10612.1  9.92633e-01
 10612.7  9.82760e-01
 10613.4  9.59872e-01
 10614.0  9.94706e-01
 10614.6  9.64780e-01
 10615.3  9.79827e-01
 10615.9  1.02964e+00
 10616.5  1.05526e+00
 10617.2  1.03188e+00
 10617.8  9.62789e-01
 10618.4  9.68343e-01
 10619.1  1.00081e+00
 10619.7  1.01818e+00
 10620.3  1.01369e+00
 10621.0  9.98465e-01
 10621.6  9.97419e-01
 10622.2  1.01810e+00
 10622.9  1.02260e+00
 10623.5  1.03752e+00
 10624.1  1.03123e+00
 10624.8  1.02137e+00
 10625.4  1.01631e+00
 10626.0  1.03059e+00
 10626.7  1.00942e+00
 10627.3  9.91785e-01
 10627.9  1.05752e+00
 10628.6  1.01026e+00
 10629.2  9.72566e-01
 10629.9  1.01382e+00
 10630.5  1.01074e+00
 10631.1  1.00753e+00
 10631.8  9.84979e-01
 10632.4  9.79441e-01
 10633.0  1.06758e+00
 10633.7  1.06267e+00
 10634.3  9.77512e-01
 10634.9  9.62498e-01
 10635.6  1.00435e+00
 10636.2  1.02852e+00
 10636.8  1.04669e+00
 10637.5  1.03001e+00
 10638.1  1.02678e+00
 10638.7  1.05753e+00
 10639.4  1.02447e+00
 10640.0  9.82029e-01
 10640.6  1.00102e+00
 10641.3  1.07200e+00
 10641.9  1.05869e+00
 10642.5  1.04318e+00
 10643.2  1.02320e+00
 10643.8  9.73596e-01
 10644.4  1.00997e+00
 10645.1  1.00092e+00
 10645.7  9.91550e-01
 10646.3  1.00924e+00
 10647.0  1.00806e+00
 10647.6  9.91593e-01
 10648.3  9.86731e-01
 10648.9  1.01905e+00
 10649.5  1.03704e+00
 10650.2  1.03449e+00
 10650.8  9.88821e-01
 10651.4  1.00881e+00
 10652.1  1.10291e+00
 10652.7  1.12586e+00
 10653.3  1.05962e+00
 10654.0  1.04937e+00
 10654.6  1.01910e+00
 10655.2  1.06809e+00
 10655.9  1.07207e+00
 10656.5  9.95013e-01
 10657.1  1.06507e+00
 10657.8  1.00999e+00
 10658.4  1.00308e+00
 10659.0  1.03740e+00
 10659.7  1.04994e+00
 10660.3  1.04338e+00
 10660.9  1.01409e+00
 10661.6  1.00651e+00
 10662.2  9.94227e-01
 10662.8  9.89103e-01
 10663.5  9.91081e-01
 10664.1  1.00551e+00
 10664.8  9.92553e-01
 10665.4  1.00299e+00
 10666.0  9.83229e-01
 10666.7  9.82430e-01
 10667.3  9.98733e-01
 10667.9  9.65434e-01
 10668.6  9.33913e-01
 10669.2  9.25425e-01
 10669.8  9.86338e-01
 10670.5  9.94554e-01
 10671.1  9.94005e-01
 10671.7  1.02168e+00
 10672.4  9.97878e-01
 10673.0  9.68059e-01
 10673.6  1.00886e+00
 10674.3  1.02603e+00
 10674.9  1.00835e+00
 10675.5  9.96008e-01
 10676.2  9.82381e-01
 10676.8  9.65036e-01
 10677.4  9.79936e-01
 10678.1  1.01763e+00
 10678.7  1.00816e+00
 10679.3  1.00908e+00
