|xpos	|ypos	|ra	|dec	|zpmag	|zprms	|flux	|sigflux	|snr	|chi	|sharp	|fluxap	|sigfluxap	|nbadap	|MJD	|HJD	|FWHMSEX                   |
1077.42	988.81	5.08723	59.299827	27.077	0.057	-396.631	67.8953	-5.84	1.131	0.65	-662.0534825	185.7816902	0	56518.29041	2456518.791	2.95
1075.69	980.66	5.08723	59.299827	27.078	0.084	-431.02	78.8737	-5.46	0.927	1.012	-501.3323191	298.9314079	0	56520.19334	2456520.694	2.25
1079.59	984.41	5.08723	59.299827	27.078	0.076	-329.486	99.8995	-3.3	1.147	0.815	-180.5563148	259.4474323	0	56520.25701	2456520.758	3.65
1078.38	990.32	5.08723	59.299827	27.077	0.068	-491.613	76.7805	-6.4	1.125	0.234	-441.5161639	254.0265226	0	56520.29488	2456520.796	2.35
1075.48	976.44	5.08723	59.299827	27.08	0.23	99999999	-99.999	0	0	0	130.3739518	644.6610325	0	56527.17355	2456527.675	2.35
1078.31	980.6	5.08723	59.299827	27.064	0.472	99999999	-99.999	0	0	0	-658.9181681	1755.67202	0	56527.21861	2456527.72	2.25
1077.27	983.62	5.08723	59.299827	27.079	0.125	99999999	-99.999	inf	0	0	313.2904417	477.5626235	0	56527.25618	2456527.758	2.05
1085.02	968.67	5.08723	59.299827	27.082	0.082	-410.74	57.5298	-7.14	0.958	-0.066	-798.9415477	229.8683288	0	56529.39718	2456529.899	1.95
1088.2	968.04	5.08723	59.299827	27.08	0.083	-564.47	71.444	-7.9	0.848	0.556	-973.7319305	290.3421106	0	56529.43346	2456529.935	2.05
1092.73	967.93	5.08723	59.299827	27.082	0.093	-660.586	109.339	-6.04	1.146	0.945	-694.976976	287.0906544	0	56529.4695	2456529.971	2.05
1078.27	973.27	5.08723	59.299827	27.08	0.067	-86.1475	86.7108	-0.99	1.265	2.033	48.3673619	228.3415438	0	56532.1597	2456532.661	2.55
1078.71	981.15	5.08723	59.299827	27.078	0.05	-92.8033	44.0418	-2.11	1.416	0.438	-74.2772688	137.211858	0	56532.24578	2456532.748	1.85
1084.74	988.58	5.08723	59.299827	27.079	0.053	-17.114	53.8633	-0.32	1.366	4.357	137.4288257	152.5901971	0	56532.31912	2456532.821	1.95
1079.04	972.96	5.08723	59.299827	27.079	0.061	-490.077	61.058	-8.03	1.343	0.285	-481.070074	174.4361687	0	56537.16429	2456537.666	1.95
1094.64	995.4	5.08723	59.299827	27.08	0.045	-579.159	52.9258	-10.94	1.736	0.534	-898.0846021	93.9157989	0	56537.45612	2456537.958	1.55
1092.37	994.12	5.08723	59.299827	27.08	0.048	-460.597	36.1293	-12.75	1.182	0.395	-656.3319024	111.530076	0	56537.4925	2456537.995	1.65
1082.54	994.44	5.08723	59.299827	27.08	0.05	-535.132	48.8341	-10.96	1.381	0.294	-733.7176886	134.3174917	0	56539.39483	2456539.897	1.65
1090.89	995.68	5.08723	59.299827	27.079	0.049	-467.54	42.292	-11.06	1.172	0.466	-380.0109142	129.3614692	0	56539.43118	2456539.933	1.75
1091.78	993.55	5.08723	59.299827	27.079	0.049	-474.375	46.5139	-10.2	1.365	0.306	-528.9702663	124.2265612	0	56539.46814	2456539.97	1.65
1088.91	993.99	5.08723	59.299827	27.079	0.153	26.4948	84.008	0.32	0.981	-2.973	30.4120285	340.2495571	0	56541.40691	2456541.909	1.65
1092.71	994.45	5.08723	59.299827	27.079	0.048	-245.245	45.5471	-5.38	1.533	1.074	-342.1476113	120.5642123	0	56541.44414	2456541.946	1.65
1086.34	970.19	5.08723	59.299827	27.079	0.052	-415.838	38.1249	-10.91	0.971	0.329	-276.3017063	150.1853437	0	56543.34669	2456543.849	1.85
1091.89	992.74	5.08723	59.299827	27.08	0.049	-474.704	41.1746	-11.53	1.03	0.417	-291.5616946	154.3038908	0	56543.43679	2456543.939	1.85
1086.98	990.67	5.08723	59.299827	27.078	0.056	-728.827	71.776	-10.15	1.137	0.329	-646.1015795	214.531366	0	56545.33896	2456545.841	2.15
1080.29	971.79	5.08723	59.299827	27.078	0.07	-626.771	70.2822	-8.92	0.994	0.259	-715.2723337	265.6855654	0	56546.14125	2456546.644	2.15
1082.79	981.28	5.08723	59.299827	27.079	0.053	-621.387	56.6679	-10.97	1.239	0.355	-715.4037041	185.1395219	0	56546.24068	2456546.743	1.95
1091.56	992.99	5.08723	59.299827	27.078	0.049	-775.344	38.252	-20.27	0.806	0.056	-515.7687208	164.7520717	0	56546.41507	2456546.918	1.95
1088.24	991.23	5.08723	59.299827	27.078	0.05	-398.835	72.5419	-5.5	1.433	0.874	-554.7807249	201.7064864	0	56548.318	2456548.821	2.15
1091.2	996.08	5.08723	59.299827	27.078	0.053	-266.264	49.2029	-5.41	0.888	0.453	-345.8336075	199.2127338	0	56548.45631	2456548.959	2.35
1091.45	993.82	5.08723	59.299827	27.078	0.053	-228.256	81.1302	-2.81	1.558	1.181	-310.1074707	207.6641061	0	56548.49296	2456548.995	2.25
1091.19	995.39	5.08723	59.299827	27.077	0.05	1358.71	77.8695	17.45	1.279	-0.133	1388.431099	201.5067651	0	56550.40024	2456550.903	2.85
1091.07	993.9	5.08723	59.299827	27.078	0.049	1554.04	74.044	20.99	1.4	-0.01	1461.874023	156.9264083	0	56550.44832	2456550.951	1.95
1091.22	993.44	5.08723	59.299827	27.077	0.05	1013.62	89.0078	11.39	1.639	-0.219	774.4977381	195.3337957	0	56550.48191	2456550.985	2.25
1089.18	993.73	5.08723	59.299827	27.079	0.075	-105.614	90.71	-1.16	1.155	2.794	-448.2564411	267.6313153	0	56552.38512	2456552.888	2.65
1092.46	993.57	5.08723	59.299827	27.079	0.073	-488.389	84.929	-5.75	1.139	0.287	-720.3418731	267.7860864	0	56552.4323	2456552.935	2.45
1091.88	993.37	5.08723	59.299827	27.079	0.071	-192.692	85.8863	-2.24	1.198	1.657	-81.1255437	251.7659723	0	56552.46575	2456552.968	2.65
1077.84	975.26	5.08723	59.299827	27.079	0.067	-767.848	74.3896	-10.32	0.963	0.244	-504.5684285	205.4342372	0	56558.12679	2456558.63	2.95
1079.14	975.74	5.08723	59.299827	27.079	0.065	-656.637	82.4289	-7.97	1.092	0.065	-869.5495829	216.2646845	0	56558.1594	2456558.662	2.65
1080.65	978.95	5.08723	59.299827	27.081	0.078	-623.352	80.086	-7.78	0.97	0.717	-749.0770002	242.1131181	0	56558.19295	2456558.696	2.65
1081.58	970.63	5.08723	59.299827	27.079	0.067	-478.093	88.6796	-5.39	1.321	0.452	-519.5637518	238.0913452	0	56560.11681	2456560.62	2.35
1081.54	974.62	5.08723	59.299827	27.078	0.063	-560.456	67.4922	-8.3	1.037	-0.017	-439.3498014	209.5723257	0	56560.15059	2456560.654	2.45
1082.18	979.47	5.08723	59.299827	27.078	0.057	-465.774	80.5269	-5.78	1.501	0.454	-331.137999	201.7274795	0	56560.20559	2456560.709	2.15
1097.31	997.72	5.08723	59.299827	27.078	0.059	-863.048	73.8747	-11.68	1.029	0.314	-1030.608459	205.4430017	0	56562.40247	2456562.906	3.15
1097.67	987.28	5.08723	59.299827	27.079	0.066	-719.289	92.0565	-7.81	1.284	0.677	-620.0317933	210.6902625	0	56562.47419	2456562.977	3.05
1095.66	995.09	5.08723	59.299827	27.078	0.061	-627.043	70.6149	-8.88	1.114	0.714	-964.0985798	199.3226416	0	56564.38602	2456564.889	3.25
1092.36	988.72	5.08723	59.299827	27.079	0.057	-524.167	71.5545	-7.33	1.21	0.327	-869.0221548	220.4717765	0	56564.46833	2456564.971	2.35
1093.77	990.06	5.08723	59.299827	27.078	0.052	-379.286	85.063	-4.46	1.631	0.601	-272.0446714	192.210337	0	56566.37091	2456566.874	2.55
1092.59	989.6	5.08723	59.299827	27.08	0.061	-584.652	77.3509	-7.56	1.315	0.539	-713.3446059	200.4386783	0	56566.44337	2456566.947	2.75
1091.04	988.3	5.08723	59.299827	27.078	0.052	-594.217	79.3834	-7.49	1.614	0.578	-768.7936422	180.5589289	0	56568.34645	2456568.85	2.55
1093.94	989.41	5.08723	59.299827	27.078	0.049	-656.497	63.3958	-10.36	1.279	0.474	-1049.167607	176.448904	0	56568.41987	2456568.923	2.75
1090.63	992.37	5.08723	59.299827	27.064	0.094	-882.821	120.088	-7.35	1.152	-0.755	-950.5182608	220.3267487	0	56570.32339	2456570.827	4.35
1095.35	984.91	5.08723	59.299827	27.041	0.102	-615.132	246.137	-2.5	0.742	-4.609	-826.3164825	579.8378443	0	56570.46095	2456570.964	7.55
1094.95	991.68	5.08723	59.299827	27.08	0.063	-768.812	73.8496	-10.41	1.191	0.223	-876.0474799	217.9098749	0	56572.36285	2456572.866	2.25
1091.37	985.12	5.08723	59.299827	27.078	0.07	-737.233	98.9335	-7.45	1.4	0.519	-842.6562271	222.8072932	0	56572.44725	2456572.951	2.85
1095.46	996.73	5.08723	59.299827	27.078	0.053	4123.29	142.152	29.01	1.836	-0.189	4054.290595	194.0131251	0	56576.33208	2456576.836	2.85
1096.51	976.04	5.08723	59.299827	27.079	0.062	5221.65	159.581	32.72	1.728	-0.068	4700.063838	225.6386798	0	56576.48402	2456576.987	2.55
1094.19	988.58	5.08723	59.299827	27.077	0.073	-396.004	116.545	-3.4	1.445	0.521	-926.9387487	256.2891678	0	56580.32748	2456580.831	3.15
1094.55	987.29	5.08723	59.299827	27.077	0.07	-410.958	59.3342	-6.93	0.742	0.079	-642.1573286	258.960082	0	56580.35282	2456580.856	2.75
1079.37	982.52	5.08723	59.299827	27.078	0.053	740.273	75.4198	9.82	1.357	-0.191	435.5780676	209.5376747	0	56587.12142	2456587.625	2.25
1082.5	990.12	5.08723	59.299827	27.078	0.066	677.454	71.3567	9.49	1.017	-0.436	625.4186855	257.2922731	0	56587.25208	2456587.756	2.15
1085.36	980.33	5.08723	59.299827	27.077	0.05	-92.7108	64.5729	-1.44	1.191	2.692	-39.4071984	193.9151688	0	56589.15391	2456589.658	3.15
1086.97	981.99	5.08723	59.299827	27.077	0.047	34.1377	63.4638	0.54	1.295	-4.636	-247.0100078	188.1081574	0	56589.18001	2456589.684	2.85
1080.4	975.81	5.08723	59.299827	27.078	0.061	-225.54	71.8604	-3.14	1.196	1.566	-382.2301635	228.999932	0	56591.09043	2456591.594	2.35
1081.89	978.97	5.08723	59.299827	27.078	0.057	-160.077	67.2579	-2.38	1.118	1.998	-432.3852333	219.1448766	0	56591.11758	2456591.621	2.65
1079.34	980.74	5.08723	59.299827	27.079	0.063	-477.217	83.0859	-5.74	1.24	1.138	-216.534017	201.3851688	0	56593.10497	2456593.609	3.15
1082.6	980.37	5.08723	59.299827	27.077	0.063	-574.021	85.1368	-6.74	1.248	0.348	-724.6770514	190.1919321	0	56593.13542	2456593.639	3.45
1077.08	980.24	5.08723	59.299827	27.078	0.063	-584.707	61.7329	-9.47	0.943	0.127	-408.4028106	234.2361793	0	56596.09009	2456596.594	2.25
1096.42	985.51	5.08723	59.299827	27.077	0.071	-615.671	93.1572	-6.61	1.273	0.12	-1013.757899	211.7872899	0	56596.29199	2456596.796	2.75
1086.61	989.91	5.08723	59.299827	27.076	0.064	-575.352	62.2732	-9.24	0.844	0.521	-692.542741	201.3807005	0	56598.19435	2456598.698	3.45
1092.82	992.33	5.08723	59.299827	27.077	0.061	-516.794	61.3974	-8.42	0.911	-0.063	-553.0710084	191.8051734	0	56598.27627	2456598.78	3.15
1085.59	992.7	5.08723	59.299827	27.08	0.052	-742.584	72.6449	-10.22	1.267	0.088	-701.0929514	199.6534038	0	56600.19255	2456600.696	3.05
1094.86	985.04	5.08723	59.299827	27.078	0.063	-711.12	86.1662	-8.25	1.27	0.728	-954.1321063	201.2398014	0	56600.35051	2456600.854	3.05
1091.61	989.43	5.08723	59.299827	27.054	0.122	241.8	188.517	1.28	1.411	-0.579	-340.3300962	265.2571709	0	56602.25343	2456602.757	4.85
1094	989.41	5.08723	59.299827	27.067	0.097	331.067	144.81	2.29	1.429	-3.397	-197.0564895	211.8847602	0	56602.27883	2456602.782	4.25
1086.63	991.46	5.08723	59.299827	27.078	0.057	-14.72	71.1555	-0.21	1.057	26.787	-235.3859306	211.7717915	0	56604.23115	2456604.735	2.85
1092.42	976.8	5.08723	59.299827	27.079	0.06	261.398	52.0757	5.02	1.08	-0.727	193.0614517	196.3420998	0	56604.40069	2456604.904	1.95
1077.27	984.51	5.08723	59.299827	27.079	0.066	-409.525	88.6275	-4.62	1.254	-0.551	-76.2808386	242.0193221	0	56607.08198	2456607.586	2.65
1091.65	988.06	5.08723	59.299827	27.078	0.062	-366.626	59.5302	-6.16	0.846	0.07	-486.166301	228.8674372	0	56607.28429	2456607.788	2.65
1082.24	985.07	5.08723	59.299827	27.08	0.081	-435.017	91.6396	-4.75	1.103	0.518	-395.1087001	245.914683	0	56609.17745	2456609.681	2.95
1082	975.42	5.08723	59.299827	27.079	0.083	-391.251	91.8711	-4.26	1.102	0.883	-413.0503281	303.0488098	0	56611.10898	2456611.612	2.15
1083.59	941.98	5.08723	59.299827	27.078	0.082	-396.274	90.1409	-4.4	1.063	-0.101	-180.6369163	306.5793716	0	56611.13329	2456611.637	2.25
1091.65	977.98	5.08723	59.299827	27.079	0.071	-334.183	96.3042	-3.47	1.295	-0.311	-437.3220569	209.0051909	0	56621.29479	2456621.798	3.05
1080.38	981.46	5.08723	59.299827	27.079	0.06	-443.165	56.6658	-7.82	0.936	-0.152	-471.0738795	213.9497503	0	56622.08446	2456622.588	2.25
1082.77	980.3	5.08723	59.299827	27.079	0.06	-483.204	75.0073	-6.44	1.343	0.32	-656.3518324	209.2106776	0	56622.10905	2456622.612	2.15
1086.91	986.26	5.08723	59.299827	27.077	0.056	-645.499	57.5125	-11.22	0.902	0.196	-761.0342179	199.5548675	0	56625.20354	2456625.707	2.75
1086.48	975.44	5.08723	59.299827	27.078	0.055	-616.29	73.4714	-8.39	1.352	0.438	-822.4769345	218.2985038	0	56625.23247	2456625.736	2.05
1089.04	981.18	5.08723	59.299827	27.08	0.085	-566.96	102.991	-5.5	1.178	-0.414	-1053.11272	287.4510862	0	56627.30289	2456627.806	2.55
1089.89	974.56	5.08723	59.299827	27.073	0.149	99999999	-99.999	inf	0	0	-2188.250301	956.5671998	0	56627.32927	2456627.832	2.85
1079.82	988.75	5.08723	59.299827	27.078	0.082	-271.386	106.985	-2.54	1.303	0.771	-247.2791445	257.8635817	0	56637.08132	2456637.584	2.65
1076.29	987.64	5.08723	59.299827	27.078	0.073	-144.89	78.3674	-1.85	1.025	0.286	-174.6458904	244.651163	0	56637.10642	2456637.609	2.25
1073.97	989.12	5.08723	59.299827	27.078	0.077	-196.903	101.881	-1.93	1.187	3.629	-286.7666108	277.3251654	0	56639.10692	2456639.609	2.55
1071.81	989.8	5.08723	59.299827	27.078	0.072	-163.484	73.0817	-2.24	0.835	1.15	-128.5130774	210.7173311	0	56648.0828	2456648.585	3.25
1078.45	986.82	5.08723	59.299827	27.078	0.069	-221.917	96.1971	-2.31	1.265	1.511	-409.9906868	202.659125	0	56648.10917	2456648.611	3.05
1075.07	949.37	5.08723	59.299827	27.062	0.109	-660.369	135.623	-4.87	1.017	-0.783	-698.1215078	237.2078558	0	56653.09568	2456653.598	4.55
1079.93	980.45	5.08723	59.299827	27.071	0.099	-423.708	109.253	-3.88	0.991	1.471	-501.1929441	234.0789958	0	56653.13734	2456653.639	3.85
1073.48	993.1	5.08723	59.299827	27.08	0.069	138.047	77.7094	1.78	1.276	-1.763	-393.2629805	215.9449877	0	56659.08707	2456659.589	2.45
1077.16	992.27	5.08723	59.299827	27.079	0.066	167.078	80.5923	2.07	1.198	-1.651	135.896181	203.0609115	0	56659.1119	2456659.613	2.65
1073.52	993.39	5.08723	59.299827	27.076	0.224	99999999	-99.999	inf	0	0	-63.7367738	920.3623767	0	56661.08743	2456661.589	2.25
1077.13	992.54	5.08723	59.299827	27.072	0.229	99999999	-99.999	inf	0	0	-323.4239635	1337.892988	0	56661.11193	2456661.613	2.95
1074.5	993.16	5.08723	59.299827	27.079	0.063	-593.81	64.1508	-9.26	0.962	0.017	-488.3826603	225.969352	0	56663.09284	2456663.594	2.45
1076.7	991.1	5.08723	59.299827	27.078	0.062	-425.316	76.1189	-5.59	1.247	0.435	-392.7583923	226.9267891	0	56663.11843	2456663.62	2.55
1074.73	993.58	5.08723	59.299827	27.077	0.074	100.92	100.714	1	1.334	1.097	-0.5003283	253.937379	0	56666.08588	2456666.587	2.55
1074.53	994.77	5.08723	59.299827	27.078	0.097	-67.7976	137.5	-0.49	1.416	-3.373	-48.8755563	356.9800321	0	56668.0877	2456668.589	2.55
1073.75	989.29	5.08723	59.299827	27.079	0.096	252.462	122.445	2.06	1.181	-1.107	-501.988358	344.2584159	0	56668.11222	2456668.613	2.75
1075.45	992.17	5.08723	59.299827	27.077	0.11	-217.134	183.868	-1.18	1.174	4.383	-285.6501263	326.2884287	0	56670.08942	2456670.59	3.75
1074.05	988.8	5.08723	59.299827	27.073	0.127	99999999	-99.999	inf	0	0	-1054.642717	767.3177631	0	56670.11483	2456670.616	3.75
1072.67	993	5.08723	59.299827	27.079	0.06	-597.456	72.0643	-8.29	1.078	0.208	-617.0606365	225.4877735	0	56675.09919	2456675.6	2.55
1072.11	973.79	5.08723	59.299827	27.079	0.075	-383.808	65.6802	-5.84	1.076	0.431	-582.4580543	275.5916398	0	56675.14168	2456675.642	1.95
1072.99	991.69	5.08723	59.299827	27.076	0.145	99999999	-99.999	inf	0	0	-1125.655504	590.0632974	0	56677.10958	2456677.61	2.45
1073.59	977.95	5.08723	59.299827	27.077	0.075	-461.661	106.618	-4.33	1.293	0.9	-482.5416038	281.4567922	0	56677.21062	2456677.711	2.35
1072.85	993.26	5.08723	59.299827	27.08	0.069	-715.894	75.0233	-9.54	0.962	0.337	-875.792255	224.7420501	0	56680.10995	2456680.61	2.75
1071.92	987.71	5.08723	59.299827	27.078	0.081	-681.951	95.7039	-7.13	1.069	0.173	-691.2060258	262.5430505	0	56680.1374	2456680.638	2.65
1072.8	994.16	5.08723	59.299827	27.079	0.065	2195.71	88.9606	24.68	1.151	0.076	2329.533265	225.4044338	0	56683.09992	2456683.6	2.55
1070.26	986.69	5.08723	59.299827	27.079	0.064	2093.28	64.904	32.25	0.837	-0.067	1775.040958	230.0458192	0	56683.13194	2456683.632	2.25
1071.44	985.73	5.08723	59.299827	27.079	0.072	295.325	44.7655	6.6	0.882	0.101	144.4656425	204.5271568	0	56685.1092	2456685.609	1.95
1070.39	979.17	5.08723	59.299827	27.076	0.22	99999999	-99.999	inf	0	0	96.9300719	1231.340835	0	56685.15138	2456685.651	2.35
1069.96	995.75	5.08723	59.299827	27.08	0.081	74.6744	66.2931	1.13	1.058	0.654	389.0102514	230.1546624	0	56687.10219	2456687.602	2.25
1069.17	986.6	5.08723	59.299827	27.079	0.083	-127.267	59.9949	-2.12	0.832	0.207	13.357268	239.4397696	0	56687.14475	2456687.645	2.45
1071.93	987.89	5.08723	59.299827	27.079	0.076	242.314	78.043	3.1	0.96	-0.301	433.2026892	231.2198697	0	56690.1052	2456690.605	2.75
1071.7	978.02	5.08723	59.299827	27.079	0.073	147.644	96.6156	1.53	1.201	-1.218	-236.9636749	224.6056567	0	56690.15279	2456690.652	2.85
1067.87	968.51	5.08723	59.299827	27.08	0.079	-559.334	67.2425	-8.32	0.828	0.002	-705.6365821	272.4367185	0	56697.11039	2456697.61	2.15
1067.11	966.87	5.08723	59.299827	27.077	0.154	99999999	-99.999	0	0	0	-457.435096	817.0930111	0	56698.11045	2456698.61	2.55
1040.32	969.74	5.08723	59.299827	27.076	0.13	99999999	-99.999	inf	0	0	-598.1285322	572.4083721	0	56770.50829	2456771.005	3.85
1043.16	971.22	5.08723	59.299827	27.079	0.137	-715.362	204.589	-3.5	1.277	1.023	-857.5210962	487.2764614	0	56771.50559	2456772.002	2.95
1043.54	970.91	5.08723	59.299827	27.077	0.127	-87.3611	202.227	-0.43	1.111	10.144	-502.5832407	463.4691443	0	56772.50256	2456772.999	3.25
1043.96	976.07	5.08723	59.299827	27.076	0.106	543.558	103.651	5.24	0.761	-1.016	862.4177265	306.1768289	0	56775.49464	2456775.991	3.45
1044.56	978.99	5.08723	59.299827	27.061	0.108	107.218	245.239	0.44	1.035	-0.836	-491.3177792	366.7623748	0	56776.49197	2456776.988	5.45
1045.87	978.57	5.08723	59.299827	27.056	0.111	-317.671	271.234	-1.17	0.891	2.115	-1373.722649	450.5724973	0	56777.48838	2456777.985	6.15
1046.71	960.9	5.08723	59.299827	27.08	0.087	-324.114	92.8095	-3.49	1.019	-0.08	-206.9888245	245.0167052	0	56785.46738	2456785.964	3.05
1051.15	965.84	5.08723	59.299827	27.077	0.166	-161.364	144.619	-1.12	1.022	-2.355	-305.3325042	440.7294108	0	56785.49089	2456785.987	2.95
1049.43	963.61	5.08723	59.299827	27.203	1.488	-877.664	216.345	-4.06	1.215	-0.771	42.5583191	318.76333	0	56789.45628	2456789.953	3.35
1052.31	966.04	5.08723	59.299827	27.082	0.087	-182.566	137.011	-1.33	1.069	0.523	-131.2281494	302.2274147	0	56789.48222	2456789.979	3.45
1071.55	983.93	5.08723	59.299827	27.078	0.054	-488.179	51.4045	-9.5	1.381	0.6	-868.3803232	140.0361887	0	56837.47402	2456837.972	1.65
1072.8	982.12	5.08723	59.299827	26.96	1.631	951.003	132.204	7.19	1.803	-0.09	1142.043794	318.2985134	0	56845.45242	2456845.951	1.85
1077.27	981.59	5.08723	59.299827	27.082	0.061	431.582	64.524	6.69	1.621	-0.328	321.6437818	152.2244372	0	56845.47884	2456845.978	1.75
1079.26	1006.58	5.08723	59.299827	27.077	0.064	-388.226	93.6832	-4.14	1.541	1.232	-938.2812079	210.2627417	0	56855.46222	2456855.961	2.65
1075.59	980.57	5.08723	59.299827	26.902	1.938	-1411.67	184.057	-7.67	2.213	0.408	-962.6522279	207.834446	0	56862.27785	2456862.778	2.65
1074.99	982.11	5.08723	59.299827	26.924	1.865	-1390.5	275.509	-5.05	3.731	1.099	-896.2551224	231.9952041	0	56862.3165	2456862.816	2.45
1073.66	985.78	5.08723	59.299827	26.878	1.445	-347.748	153.371	-2.27	1.265	0.023	331.9604187	381.0250054	0	56862.3553	2456862.855	2.15
1075.62	987.27	5.08723	59.299827	26.692	1.553	-582.127	138.24	-4.21	2.315	0.671	328.5279465	345.5774286	0	56862.38817	2456862.888	1.95
1077.18	978.88	5.08723	59.299827	27.077	0.054	144.07	51.403	2.8	1.425	-1.445	-15.6548708	163.4854407	0	56869.37086	2456869.871	1.85
1080.81	981.62	5.08723	59.299827	26.985	1.592	865.477	147.011	5.89	2.235	0.078	534.630162	260.8910718	0	56869.40135	2456869.901	1.85
1084.85	981.4	5.08723	59.299827	27.078	0.05	388.274	54.0374	7.19	1.499	-0.632	280.7467066	139.4582401	0	56869.43428	2456869.934	1.75
1081.09	1009.83	5.08723	59.299827	27.069	1.437	2469	270.255	9.14	3.143	-0.129	1732.134522	360.4122127	0	56869.46248	2456869.963	1.65
1083.89	985.49	5.08723	59.299827	27.079	0.097	437.38	79.7908	5.48	1.753	-0.627	234.1860432	245.7400151	0	56869.49927	2456869.999	1.65
1085.99	975.76	5.08723	59.299827	27.077	0.044	-468.547	47.7197	-9.82	1.329	0.354	-643.764323	143.0442485	0	56876.41522	2456876.916	1.95
1083.6	977.4	5.08723	59.299827	27.078	0.045	-367.971	46.2835	-7.95	1.212	0.478	-585.7247227	152.7289262	0	56876.44466	2456876.945	1.95
1082.36	977.66	5.08723	59.299827	27.078	0.044	-96.2098	72.4411	-1.33	1.806	2.733	-539.6808667	181.3837739	0	56876.45058	2456876.951	2.05
