|xpos	|ypos	|ra	|dec	|zpmag	|zprms	|flux	|sigflux	|snr	|chi	|sharp	|fluxap	|sigfluxap	|nbadap	|MJD	|HJD	|FWHMSEX                   |
|r	|r	|r	|r	|r	|r	|r	|r	|r	|r	|r	|r	|r	|i	|r	|r	|r                         |
|pix	|pix	|deg	|deg	|mag	|mag	|DN	|DN	|	|	|	|DN	|DN	|	|days	|days	|arcsec                    |
1099.3	992.92	5.08723	59.299827	27.068	0.042	67.0684	22.5559	2.97	0.937	-0.478	104.4231057	76.0231811	0	56951.36521	2456951.869	2.45
1098.65	991.93	5.08723	59.299827	27.08	0.075	155.013	40.1817	3.86	1.303	-0.146	140.7678716	108.439082	0	56951.39894	2456951.903	2.45
1097.12	994.6	5.08723	59.299827	27.067	0.037	59.9158	20.3985	2.94	0.955	1.553	97.6304094	65.7091809	0	56952.35101	2456952.855	2.25
1097.16	994.08	5.08723	59.299827	27.068	0.042	5.44438	19.7405	0.28	1.038	3.624	-100.8357333	65.9048868	0	56952.37968	2456952.883	2.25
1095.73	995.11	5.08723	59.299827	27.067	0.036	-13.9873	27.9862	-0.5	1.274	10.209	-14.5125958	74.3748134	0	56953.34565	2456953.849	2.45
1097.18	991.29	5.08723	59.299827	27.068	0.042	-84.4556	22.8326	-3.7	1.196	1.007	-83.6348579	60.2789539	0	56954.36273	2456954.866	2.25
1094.06	989.46	5.08723	59.299827	27.067	0.042	-96.4999	17.5894	-5.49	0.822	-0.072	-45.8436294	66.0909295	0	56954.39161	2456954.895	2.25
1094.86	992.1	5.08723	59.299827	27.068	0.044	-87.6735	27.3422	-3.21	1.36	0.003	-16.5579074	67.0155596	0	56955.34692	2456955.851	2.25
1094.59	991.75	5.08723	59.299827	27.073	0.058	-114.691	33.1952	-3.46	1.378	-0.227	-192.281235	81.3625995	0	56955.37579	2456955.879	2.25
1097.95	994.71	5.08723	59.299827	27.066	0.135	-106.236	200.602	-0.53	1.073	-1.853	-411.3259232	408.8600279	0	56956.34589	2456956.85	3.65
